1.1.7.01.01.01.001;Aspal
1.3.2.08.01.12.054;Microscope Fluoronsence
1.3.2.08.01.12.055;Microscope Phase Contrast Light Field
1.3.2.08.01.12.056;Microscope Phase Contrast Dark Field
1.3.2.08.01.12.057;Microtitation Plate Incubator
1.3.2.08.01.12.058;Automatic Micro Plate Laser
1.3.2.08.01.12.059;Petri Dish
1.3.2.08.01.12.060;Loop Sterilizer
1.3.2.08.01.12.061;Reader Petri Dishas
1.3.2.08.01.12.062;Reader Antibiotic
1.3.2.08.01.12.063;French Pressure Cell & Laboratory Press Motor Driven Laobatory
1.3.2.08.01.12.064;Standard French Presure Cell 35 Ml Capasity, Presure Up To 40.00
1.3.2.08.01.12.065;Miniature French Presure Cell 3,7 Ml Capasity, Presure Up To 20
1.3.2.08.01.12.066;Tissue Homogenizer
1.3.2.08.01.12.067;Hematology Analyzer (Blood Cell Counter)
1.3.2.08.01.12.068;Sub Marine Gel System
1.3.2.08.01.12.069;Microcentrifuge
1.3.2.08.01.12.070;Stiring Hot Plat
1.3.2.08.01.12.071;Micro Pippettes
1.3.2.08.01.12.072;Electromagnetic Current Meter
1.3.2.08.01.12.073;Electronic Current Meter
1.3.2.08.01.12.074;Vector Aritmatic
1.3.2.08.01.12.075;Sandy Surface Meter
1.3.2.08.01.12.076;Wave Height Meter
1.3.2.08.01.12.077;Digital Storage Oscilloscope
1.3.2.08.01.12.078;Detector
1.3.2.08.01.12.079;Pressure Transacer
1.3.2.08.01.12.080;Microscope Tringular
1.3.2.08.01.12.081;Helium Liquifier
1.3.2.08.01.12.082;Vacuum Manifold
1.3.2.08.01.12.083;Dispensing Pump
1.3.2.08.01.12.084;Dna Analyzer
1.3.2.08.01.12.085;Alat Laboratorium Microbiologi Lainnya
1.3.2.08.01.13.001;Analytical Balance Electric
1.3.2.08.01.13.002;Analytical Balance Non Electric
1.3.2.08.01.13.003;Balance Trip
1.3.2.08.01.13.004;Balance Gram
1.3.2.08.01.13.005;Balance Miligram
1.3.2.08.01.13.006;Balance Kodek/Kilogram
1.3.2.08.01.13.007;Fotometer
1.3.2.08.01.13.008;Flame Fotometer
1.3.2.08.01.13.009;Mercury Analyzer (Alat Laboratorium Kimia)
1.3.2.08.01.13.010;Automatic Adsorption Spectrofotometer
1.3.2.08.01.13.011;Turbidimeter (Alat Laboratorium Kimia)
1.3.2.08.01.13.012;Conductometer
1.3.2.08.01.13.013;Khromatographi Kertas
1.3.2.08.01.13.014;Khromatographi Tabung
1.3.2.08.01.13.015;Khromatographi Lapisan Tipis (Tlg)
1.3.2.08.01.13.016;Khromatograhi Gas Cair (Gls)-Gc
1.3.2.08.01.13.017;Tintometer Kid
1.3.2.08.01.13.018;Comparator
1.3.2.08.01.13.019;Desicator
1.3.2.08.01.13.020;Sohxlet
1.3.2.08.01.13.021;Thiel Apparatus
1.3.2.08.01.13.022;Buret/Peralatan Titrasi
1.3.2.08.01.13.023;Deep Freezer (Alat Laboratorium Kimia)
1.3.2.08.01.13.024;Kyldahl Apparatus
1.3.2.08.01.13.025;U.V. Lamp (Alat Laboratorium Kimia)
1.3.2.08.01.13.026;Seperate Funnel
1.3.2.08.01.13.027;Nephelmeter
1.3.2.08.01.13.028;Destilator (Alat Laboratorium Kimia)
1.3.2.08.01.13.029;High Performance Liquid Diromatography (Hplg)
1.3.2.08.01.13.030;Aqua Bidest Apparatus
1.3.2.08.01.13.031;Aquadest Apparatus
1.3.2.08.01.13.032;Electrophorese
1.3.2.08.01.13.033;Diyer
1.3.2.08.01.13.034;Hot Plate (Alat Laboratorium Kimia)
1.3.2.08.01.13.035;Micro Burret
1.3.2.08.01.13.036;Tabung Nessler Pembanding Warna
1.3.2.08.01.13.037;Chromato Jar
1.3.2.08.01.13.038;Chromatography Oven
1.3.2.08.01.13.039;Chromatogram Developping Apparatus/Chambler
1.3.2.08.01.13.040;Tlc Reagent Sprayer
1.3.2.08.01.13.041;Tlc Drying Rachs
1.3.2.08.01.13.042;Aqua Analyzer
1.3.2.08.01.13.043;Netrogin Analyzer
1.3.2.08.01.13.044;Preasure Sterilizer
1.3.2.08.01.13.045;Melt Indexer (Alat Laboratorium Kimia)
1.3.2.08.01.13.046;Westover Type Frioctono Meter
1.3.2.08.01.13.047;Brannock
1.3.2.08.01.13.048;Water Distilation Apparatus (Alat Laboratorium Kimia)
1.3.2.08.01.13.049;E N T K A S
1.3.2.08.01.13.050;Homogin Mixer
1.3.2.08.01.13.051;Dry Blending
1.3.2.08.01.13.052;Experimental Tanning Drum
1.3.2.08.01.13.053;Hide Prosessor
1.3.2.08.01.13.054;Tannox Drum
1.3.2.08.01.13.055;Plat Aluminium Untuk Out Set
1.3.2.08.01.13.056;Alat Untuk Mensol Fenasi Minyak Pelumas
1.3.2.08.01.13.057;Spec Tonic
1.3.2.08.01.13.058;Spi Flame Ability (Alat Laboratorium Kimia)
1.3.2.08.01.13.059;Infrared Spectro Foto Meter
1.3.2.08.01.13.060;Laboratory Spry Dryer
1.3.2.08.01.13.061;Lacto Meter
1.3.2.08.01.13.062;Filtration System
1.3.2.08.01.13.063;Water Distiling
1.3.2.08.01.13.064;Aqua Meter/Titrator
1.3.2.08.01.13.065;Road Coater
1.3.2.08.01.13.066;Alat Pemisah Buih(Foam Seperator)
1.3.2.08.01.13.067;Mini Mil Computerized Laboratory Digester
1.3.2.08.01.13.068;Peralatan Chlorine Injector
1.3.2.08.01.13.069;Alat Pembuat Pelet
1.3.2.08.01.13.070;Peralatan Pencampur Kompos & Bio Stabilizer
1.3.2.08.01.13.071;Gas Orsat Apparatus
1.3.2.08.01.13.072;Reaktor Anaerobic
1.3.2.08.01.13.073;Alat Ultra Filtrasi
1.3.2.08.01.13.074;Kjeltec Auto System Ii
1.3.2.08.01.13.075;Melting Point Apparatus Thermolyn
1.3.2.08.01.13.076;Portable Oil Counter Meter
1.3.2.08.01.13.077;Soxtec System (Tecator)
1.3.2.08.01.13.078;Salinity Conductivity/Temperaturemeter/Stc
1.3.2.08.01.13.079;T I T R A T O R
1.3.2.08.01.13.080;Wild Zoom Stereo Microscope
1.3.2.08.01.13.081;Tv Monitor
1.3.2.08.01.13.082;Hydrolic Lab Press
1.3.2.08.01.13.083;Mini Pump Air Sample Flow Meter
1.3.2.08.01.13.084;Air Sampler (Alat Laboratorium Kimia)
1.3.2.08.01.13.085;Multi Purpose
1.3.2.08.01.13.086;Freenes Tester
1.3.2.08.01.13.087;Spineret
1.3.2.08.01.13.088;Ink Huber Tester
1.3.2.08.01.13.089;Hydropulper
1.3.2.08.01.13.090;Niagara Beater
1.3.2.08.01.13.091;Oil Peneration Tester
1.3.2.08.01.13.092;Hcl Burner
1.3.2.08.01.13.093;Packing Test
1.3.2.08.01.13.094;Concora Unit
1.3.2.08.01.13.095;Hygrometer Ruang Round
1.3.2.08.01.13.096;Phase Conterase
1.3.2.08.01.13.097;Hydrolic Pump
1.3.2.08.01.13.098;Electrophoresis (Alat Laboratorium Kimia)
1.3.2.08.01.13.099;Densitometer For Protein
1.3.2.08.01.13.100;Chloridemeter
1.3.2.08.01.13.101;Blood Cell Counter
1.3.2.08.01.13.102;Blood Gas Analyzer (Alat Laboratorium Kimia)
1.3.2.08.01.13.103;Coagulation Timer (Alat Laboratorium Kimia)
1.3.2.08.01.13.104;Micro Hematocrite Centrifuge
1.3.2.08.01.13.105;Hemaglobine Photometer
1.3.2.08.01.13.106;Iso Enzym Electrophoresis
1.3.2.08.01.13.107;Imono Electrophoresis
1.3.2.08.01.13.108;Imono Chemistry
1.3.2.08.01.13.109;Ph Blood Gas Analyzer
1.3.2.08.01.13.110;Water Destillator
1.3.2.08.01.13.111;Precicion Balance
1.3.2.08.01.13.112;Washing Instrument (Alat Laboratorium Kimia)
1.3.2.08.01.13.113;Blood Chemistry Analysis
1.3.2.08.01.13.114;Trombelastograph
1.3.2.08.01.13.115;Monitor For Diro Matograph
1.3.2.08.01.13.116;Tangki Liquid Nitrogen
1.3.2.08.01.13.117;Pengukur Dissolution
1.3.2.08.01.13.118;Detection (Alat Uni Katalis Dan Bio Katalis)
1.3.2.08.01.13.119;Pengukur Penguapan
1.3.2.08.01.13.120;Automatic Thin-Layer Chromatography (Tlc) Sampler
1.3.2.08.01.13.121;Atomic Absorption Spectofotometer
1.3.2.08.01.13.122;Alat Laboratorium Kimia Lainnya
1.3.2.08.01.14.001;Electrophoresis System
1.3.2.08.01.14.002;Gas Liquid Chromatography Apparatus
1.3.2.08.01.14.003;Thin Layer Chromatography Apparatus
1.3.2.08.01.14.004;Freezer (Alat Laboratorium Patologi)
1.3.2.08.01.14.005;Blood Bank Refrigerator (Alat Laboratorium Patologi)
1.3.2.08.01.14.006;Refrigerator Centrifuge
1.3.2.08.01.14.007;Refrigerator Bath
1.3.2.08.01.14.008;Centrifuge Hematocrit
1.3.2.08.01.14.009;Calcium Analyzer
1.3.2.08.01.14.010;Glucosa Analyzer
1.3.2.08.01.14.011;Hematology Analyzer
1.3.2.08.01.14.012;Clorida Meter
1.3.2.08.01.14.013;Blood Bank Incubator
1.3.2.08.01.14.014;Microscope Monoculair
1.3.2.08.01.14.015;Microscope Binoculair
1.3.2.08.01.14.016;Automatic Tissue Processor (Alat Laboratorium Patologi)
1.3.2.08.01.14.017;Automatic Microtome Knife Sharpener
1.3.2.08.01.14.018;Automatic Slide Staining Machine
1.3.2.08.01.14.019;Automatic Tissue Embedding Appatarus
1.3.2.08.01.14.020;Cryout Microtoma
1.3.2.08.01.14.021;Microslide Warmer
1.3.2.08.01.14.022;Slide Warmer
1.3.2.08.01.14.023;Flotation Bath
1.3.2.08.01.14.024;Rotator
1.3.2.08.01.14.025;Shaker (Alat Laboratorium Patologi)
1.3.2.08.01.14.026;Plasma Extrator
1.3.2.08.01.14.027;Prothrombin Timer
1.3.2.08.01.14.028;Coagulation Meter
1.3.2.08.01.14.029;Platelet Mixer
1.3.2.08.01.14.030;Blood Pipet Shaker
1.3.2.08.01.14.031;Billirubinometer
1.3.2.08.01.14.032;Automatic Dispencer
1.3.2.08.01.14.033;Automatic Dilluter Complete
1.3.2.08.01.14.034;Automatic Pipet Set
1.3.2.08.01.14.035;Magnetic Stirer (Alat Laboratorium Patologi)
1.3.2.08.01.14.036;Hemathologi
1.3.2.08.01.14.037;Hematology Staining Set
1.3.2.08.01.14.038;Rh Typing Box
1.3.2.08.01.14.039;B.U.N. Analyzer
1.3.2.08.01.14.040;Enzim Analyzer
1.3.2.08.01.14.041;Microgasometer
1.3.2.08.01.14.042;Heating Bloet/Test Tube Heaters
1.3.2.08.01.14.043;Alat Laboratorium Patologi Lainnya
1.3.2.08.01.15.001;Autosil (Double Distiled And Demineralized
1.3.2.08.01.15.002;Centrifuge Electric
1.3.2.08.01.15.003;Cryostat Microtome
1.3.2.08.01.15.004;Dry Heat Oven Electrophoresis Kit, Consist Of
1.3.2.08.01.15.005;Electrophoresis Chamber
1.3.2.08.01.15.006;Power Supply (Alat Laboratorium Immunologi)
1.3.2.08.01.15.007;Sample Aplicator
1.3.2.08.01.15.008;Electrophoresis Market
1.3.2.08.01.15.009;Staining Trays
1.3.2.08.01.15.010;Absorbant Pads And Trips
1.3.2.08.01.15.011;Non Serrated Forceps
1.3.2.08.01.15.012;Capillary Tubes
1.3.2.08.01.15.013;Freezer - 30 Derajat Celcius
1.3.2.08.01.15.014;Immunodiffusion System
1.3.2.08.01.15.015;Immunodiffusion Puch Set
1.3.2.08.01.15.016;Consist Of
1.3.2.08.01.15.017;Punch
1.3.2.08.01.15.018;Holder
1.3.2.08.01.15.019;Dye Set And 2,5 Mm Wrech
1.3.2.08.01.15.020;Immuno Frames
1.3.2.08.01.15.021;Immuno Frame Holder
1.3.2.08.01.15.022;Immuno Leveling Table Set
1.3.2.08.01.15.023;Stainless Steel Tongs
1.3.2.08.01.15.024;Suction Needless (2,6 Mm Dia)
1.3.2.08.01.15.025;Staining And Rising Tanks
1.3.2.08.01.15.026;Magnetic Stirles & Bars
1.3.2.08.01.15.027;Measuring Magnifier
1.3.2.08.01.15.028;Micromixer
1.3.2.08.01.15.029;Measuring Magnifier Microtiterkit
1.3.2.08.01.15.030;Titration Plates U Wells
1.3.2.08.01.15.031;Titration Plates V Wells
1.3.2.08.01.15.032;Sealing Tape 72 Yl, 50 Ul
1.3.2.08.01.15.033;Tape Dispencer
1.3.2.08.01.15.034;Support Plates
1.3.2.08.01.15.035;Filter Cartigges
1.3.2.08.01.15.036;Suction Bulb
1.3.2.08.01.15.037;Microdituter 25 Ul, 50 Ul
1.3.2.08.01.15.038;Deliveri Tester25 Ul
1.3.2.08.01.15.039;Stand, Diluter/Pipet
1.3.2.08.01.15.040;Rack, Diluter/Pipet
1.3.2.08.01.15.041;Carrying Case
1.3.2.08.01.15.042;Test Reading Mirror
1.3.2.08.01.15.043;Centrifuge Carries
1.3.2.08.01.15.044;Carrying/Storage Case
1.3.2.08.01.15.045;Shaking Waterbath
1.3.2.08.01.15.046;Staining Jar
1.3.2.08.01.15.047;Waterbath With Thermostat
1.3.2.08.01.15.048;Viewer (Alat Laboratorium Immunologi)
1.3.2.08.01.15.049;Voltmeter
1.3.2.08.01.15.050;Reagent Aplication Device (Micro And Linier Stripper)
1.3.2.08.01.15.051;Stripping Cutting Device
1.3.2.08.01.15.052;Laminating Module With 4 Reels
1.3.2.08.01.15.053;Staining Set
1.3.2.08.01.15.054;Alat Laboratorium Immunologi Lainnya
1.3.2.08.01.16.001;Albuminometer
1.3.2.08.01.16.002;Bunsen Burner & Kelengkapannya
1.3.2.08.01.16.003;Differential Cell Counter
1.3.2.08.01.16.004;Haemocytometer
1.3.2.08.01.16.005;Mikroskop Monokuler
1.3.2.08.01.16.006;Mikroskop Binokuler
1.3.2.08.01.16.007;Dispencer Adjustable
1.3.2.08.01.16.008;Sentrifus Elektrik
1.3.2.08.01.16.009;Sentrifus Hematokrit
1.3.2.08.01.16.010;Timer (Alat Laboratorium Hematologi)
1.3.2.08.01.16.011;Urinometer (Alat Laboratorium Hematologi)
1.3.2.08.01.16.012;Water Distilation Apparatus (Alat Laboratorium Hematologi)
1.3.2.08.01.16.013;Washer And Dryer,Pipet
1.3.2.08.01.16.014;Westergren Apparatus
1.3.2.08.01.16.015;Tips Pipet Sesuai Ukuran
1.3.2.08.01.16.016;Alat Laboratorium Hematologi Lainnya
1.3.2.08.01.17.001;Mesin Cuci B.W Negatif
1.3.2.08.01.17.002;Mesin Cuci B.W Positif
1.3.2.08.01.17.003;Mesin Cuci Color Eca
1.3.2.08.01.17.004;Mesin Cuci Color Ecp
1.3.2.08.01.17.005;Mesin Cuci Color Cri
1.3.2.08.01.17.006;Mesin Cetak Color
1.3.2.08.01.17.007;Mesin Vidio Color Analyzer
1.3.2.08.01.17.008;Mesin Spesial Optical Effek Printer
1.3.2.08.01.17.009;Chemical Analisa
1.3.2.08.01.17.010;Fotografic Analisa
1.3.2.08.01.17.011;Chemical Mixing
1.3.2.08.01.17.012;Ultrasonic Cleaner (Alat Laboratorium Film)
1.3.2.08.01.17.013;Destilasi
1.3.2.08.01.17.014;Analistic Balance
1.3.2.08.01.17.015;Lemari Asam
1.3.2.08.01.17.016;B.D. Meter
1.3.2.08.01.17.017;Tensitometer
1.3.2.08.01.17.018;Alat Pemanas
1.3.2.08.01.17.019;Motor Mixer
1.3.2.08.01.17.020;Tangki Meter
1.3.2.08.01.17.021;Silver Recovery
1.3.2.08.01.17.022;Mesin Scanning
1.3.2.08.01.17.023;Video Printer
1.3.2.08.01.17.024;Pc-Based Uv Gel Documentation System
1.3.2.08.01.17.025;Phospor Image
1.3.2.08.01.17.026;Tranmision Electorn Microscope
1.3.2.08.01.17.027;Alat Laboratorium Film Lainnya
1.3.2.08.01.18.001;Gilingan Mile
1.3.2.08.01.18.002;Wajan Teflon
1.3.2.08.01.18.003;Kompor Lpg
1.3.2.08.01.18.004;Alat Pembuat Mie
1.3.2.08.01.18.005;Timbangan Kue
1.3.2.08.01.18.006;Slicer
1.3.2.08.01.18.007;Colony Counter (Alat Laboratorium Makanan)
1.3.2.08.01.18.008;Rotary Evaporator (Alat Laboratorium Makanan)
1.3.2.08.01.18.009;Protein Analyzer
1.3.2.08.01.18.010;Kompor Gas (Alat Laboratorium Makanan)
1.3.2.08.01.18.011;Cooler (Alat Laboratorium Makanan)
1.3.2.08.01.18.012;Penghalus Es
1.3.2.08.01.18.013;Thermos Es
1.3.2.08.01.18.014;Cooking Range
1.3.2.08.01.18.015;Frying Pan
1.3.2.08.01.18.016;Boiling Pan
1.3.2.08.01.18.017;Cold Storage (Alat Laboratorium Makanan)
1.3.2.08.01.18.018;Ice Maker (Alat Laboratorium Makanan)
1.3.2.08.01.18.019;Rice Cooker (Alat Laboratorium Makanan)
1.3.2.08.01.18.020;Rice Washer
1.3.2.08.01.18.021;Food Processor
1.3.2.08.01.18.022;Food Trolley
1.3.2.08.01.18.023;Scale (Alat Laboratorium Makanan)
1.3.2.08.01.18.024;Work Bench (Alat Laboratorium Makanan)
1.3.2.08.01.18.025;Kompor Minyak Tanah
1.3.2.08.01.18.026;Meja Kerja Stainless
1.3.2.08.01.18.027;Alat Pelecet Kedelai
1.3.2.08.01.18.028;Alat Pembuat Keripik
1.3.2.08.01.18.029;Alat Pembuat Coklat
1.3.2.08.01.18.030;Alat Penjernih Air
1.3.2.08.01.18.031;Loyang Susun
1.3.2.08.01.18.032;Alat Perajang Kerupuk
1.3.2.08.01.18.033;Alat Penggiling Tahu
1.3.2.08.01.18.034;Chopper
1.3.2.08.01.18.035;Alat Penutup Botol
1.3.2.08.01.18.036;Alat Penyangray Kopi
1.3.2.08.01.18.037;Alat Kukus
1.3.2.08.01.18.038;Alat Pembuka Sabut Kelapa
1.3.2.08.01.18.039;Alat Perajang Pisang
1.3.2.08.01.18.040;Alat Pencuci Botol
1.3.2.08.01.18.041;Tangki Penyimpan
1.3.2.08.01.18.042;Tempering
1.3.2.08.01.18.043;Alat Laboratorium Makanan Lainnya
1.3.2.08.01.19.001;Analytical Balance (Alat Laboratorium Farmasi)
1.3.2.08.01.19.002;Micro Analytical Balance
1.3.2.08.01.19.003;Top Loading Balance (Alat Laboratorium Farmasi)
1.3.2.08.01.19.004;Water Distilling Apparatus
1.3.2.08.01.19.005;Tablet Press Machine
1.3.2.08.01.19.006;Strip Packing Machine
1.3.2.08.01.19.007;Viscometer (Alat Laboratorium Farmasi)
1.3.2.08.01.19.008;U V Sterilizer
1.3.2.08.01.19.009;Pengukur Kekerasan Tablet
1.3.2.08.01.19.010;Mesin Campur Bubuk
1.3.2.08.01.19.011;Mesin Campur Emulsi
1.3.2.08.01.19.012;Mesin Pengahalus Salep
1.3.2.08.01.19.013;Mesin Pengisi Salep
1.3.2.08.01.19.014;Mesin Pengisi Cairan
1.3.2.08.01.19.015;Disintegrator
1.3.2.08.01.19.016;Friability Tester
1.3.2.08.01.19.017;Mesin Penutup Botol
1.3.2.08.01.19.018;Mesin Penuyalut/Coating
1.3.2.08.01.19.019;Deduster Tablet
1.3.2.08.01.19.020;Mesin Pencuci Wadah/Botol
1.3.2.08.01.19.021;Mesin Pencampur Salep
1.3.2.08.01.19.022;Lemari Pengering Botol
1.3.2.08.01.19.023;Mesin Penghitung Tablet
1.3.2.08.01.19.024;Mesin Film Coating
1.3.2.08.01.19.025;Mesin Pembersih Kapsul
1.3.2.08.01.19.026;Mesin Pengisi Bubuk
1.3.2.08.01.19.027;Mesin Pengisi Dan Penutup Ampul
1.3.2.08.01.19.028;Mesin Penutup Vial
1.3.2.08.01.19.029;Mesin Pencampur Cairan
1.3.2.08.01.19.030;Mesin Pencampur Suspens
1.3.2.08.01.19.031;Mortars & Pastle
1.3.2.08.01.19.032;Counter Balance
1.3.2.08.01.19.033;Dial Balance
1.3.2.08.01.19.034;Anastistic Balance
1.3.2.08.01.19.035;Seives All Sizes
1.3.2.08.01.19.036;Medicine Can
1.3.2.08.01.19.037;Medicine Spoon Steinless
1.3.2.08.01.19.038;Medicine Spoon Horfr
1.3.2.08.01.19.039;Spoon Set
1.3.2.08.01.19.040;Wrapping Machine
1.3.2.08.01.19.041;Medice Bottle
1.3.2.08.01.19.042;Liquid Medicine Bottle
1.3.2.08.01.19.043;Steril Bottle Witt, Cup
1.3.2.08.01.19.044;Droping Bottle
1.3.2.08.01.19.045;Graduated Cylinder
1.3.2.08.01.19.046;Presceription Botle
1.3.2.08.01.19.047;Medicine Cup
1.3.2.08.01.19.048;Spatula
1.3.2.08.01.19.049;Ointment Plate
1.3.2.08.01.19.050;Paste Pot
1.3.2.08.01.19.051;Ointment Can
1.3.2.08.01.19.052;Ointment Pan
1.3.2.08.01.19.053;Ointment Jar
1.3.2.08.01.19.054;Bottle Washer
1.3.2.08.01.19.055;Rotary Bottle Rack
1.3.2.08.01.19.056;Lig Medis Bottle Rak
1.3.2.08.01.19.057;Capsule Filling Machine
1.3.2.08.01.19.058;Presciption Counter
1.3.2.08.01.19.059;Capsule Container
1.3.2.08.01.19.060;Power Mixer
1.3.2.08.01.19.061;Stirer
1.3.2.08.01.19.062;Tablet Machine
1.3.2.08.01.19.063;Pump Fiter
1.3.2.08.01.19.064;Alat Laboratorium Farmasi Lainnya
1.3.2.08.01.20.001;Adaptor
1.3.2.08.01.20.002;Signal Generator (Alat Laboratorium Fisika)
1.3.2.08.01.20.003;Vu Meter
1.3.2.08.01.20.004;Kaca Plan Paralel
1.3.2.08.01.20.005;Rangkaian Hambatan Jembatan Seri
1.3.2.08.01.20.006;Rangkaian Hukum
1.3.2.08.01.20.007;Hambatan Jembatan Wheatstome
1.3.2.08.01.20.008;Garpu Tala
1.3.2.08.01.20.009;Timer Switch
1.3.2.08.01.20.010;Magnet U
1.3.2.08.01.20.011;Kaca Prisma
1.3.2.08.01.20.012;Lensa Cembung
1.3.2.08.01.20.013;Bangku Optik
1.3.2.08.01.20.014;Pipa Resonansi
1.3.2.08.01.20.015;Audio Generator
1.3.2.08.01.20.016;Battery Changer
1.3.2.08.01.20.017;Power Supply (Alat Laboratorium Fisika)
1.3.2.08.01.20.018;Alat Laboratorium Fisika Lainnya
1.3.2.08.01.21.001;Carbatec Portable
1.3.2.08.01.21.002;Gas Analysis Apparatus (Alat Laboratorium Hidrodinamika)
1.3.2.08.01.21.003;Law Volume Dust Sampler (Alat Laboratorium Hidrodinamika)
1.3.2.08.01.21.004;Middle Volume Air Sampler (Alat Laboratorium Hidrodinamika)
1.3.2.08.01.21.005;Multi Shihet Filter Press
1.3.2.08.01.21.006;Thin Layer Chromatography (Alat Laboratorium Hidrodinamika)
1.3.2.08.01.21.007;Bench Scale/Biooxidation System
1.3.2.08.01.21.008;Disolved Solid Mater Por (Alat Laboratorium Hidrodinamika)
1.3.2.08.01.21.009;Hydrothermograph (Alat Laboratorium Hidrodinamika)
1.3.2.08.01.21.010;Thermohigrograph (Alat Laboratorium Hidrodinamika)
1.3.2.08.01.21.011;Martindale Wear And Abration Tester (Alat Laboratorium Hidrodinam
1.3.2.08.01.21.012;Alat Laboratorium Hidrodinamika Lainnya
1.3.2.08.01.22.001;Carbotec Portable
1.3.2.08.01.22.002;Gas Analysis Apparatus (Alat Laboratorium Klimatologi)
1.3.2.08.01.22.003;Law Volume Dust Sampler (Alat Laboratorium Klimatologi)
1.3.2.08.01.22.004;Middle Volume Air Sampler (Alat Laboratorium Klimatologi)
1.3.2.08.01.22.005;Multi Sheet Filter Press
1.3.2.08.01.22.006;Thin Layer Chromatography (Alat Laboratorium Klimatologi)
1.3.2.08.01.22.007;Bench Scale/Bioxidation System
1.3.2.08.01.22.008;Disolved Solid Mater Por (Alat Laboratorium Klimatologi)
1.3.2.08.01.22.009;Hydrothermograph (Alat Laboratorium Klimatologi)
1.3.2.08.01.22.010;Thermohigrograph (Alat Laboratorium Klimatologi)
1.3.2.08.01.22.011;Martindale Wear And Abration Tester (Alat Laboratorium Klimatolog
1.3.2.08.01.22.012;Rain Gauge Transfer Calibrator
1.3.2.08.01.22.013;Pressure Chamber
1.3.2.08.01.22.014;Rain Gauge Laboratorium Calibrator
1.3.2.08.01.22.015;Ion Chromatography
1.3.2.08.01.22.016;Spectrophotometer
1.3.2.08.01.22.017;Humidity Meter Standard
1.3.2.08.01.22.018;Zero Air Supply
1.3.2.08.01.22.019;Humidity Chamber
1.3.2.08.01.22.020;Alat Laboratorium Klimatologi Lainnya
1.3.2.08.01.23.001;Cupola
1.3.2.08.01.23.002;Shot Blast
1.3.2.08.01.23.003;Shake Out
1.3.2.08.01.23.004;Fual Pump
1.3.2.08.01.23.005;Ladle Heating
1.3.2.08.01.23.006;Induction Furnace (Alat Laboratorium Proses Peleburan)
1.3.2.08.01.23.007;Bale Out Furnace
1.3.2.08.01.23.008;Tilting Furnace
1.3.2.08.01.23.009;Grinding Machine
1.3.2.08.01.23.010;Ghanematic Grinding Machine
1.3.2.08.01.23.011;Work Bench (Alat Laboratorium Proses Peleburan)
1.3.2.08.01.23.012;Gantry Crane
1.3.2.08.01.23.013;Rotary Furnace
1.3.2.08.01.23.014;Small Grinding Machine
1.3.2.08.01.23.015;Hand Grinding Machine
1.3.2.08.01.23.016;Pyrometer Digital
1.3.2.08.01.23.017;Carbon Aquipment Metic
1.3.2.08.01.23.018;Tentip/Tectip
1.3.2.08.01.23.019;Digital Ce Meter
1.3.2.08.01.23.020;Steel Analysis Digital
1.3.2.08.01.23.021;Alat Laboratorium Proses Peleburan Lainnya
1.3.2.08.01.24.001;Lab Sifter
1.3.2.08.01.24.002;Jolt Aqueeze App
1.3.2.08.01.24.003;Wet Tensile Strength
1.3.2.08.01.24.004;Central Controler
1.3.2.08.01.24.005;Compresive Stress
1.3.2.08.01.24.006;Testing App
1.3.2.08.01.24.007;Universal Strenght Machine
1.3.2.08.01.24.008;Assesories Universal Strength
1.3.2.08.01.24.009;Sintering Furnace
1.3.2.08.01.24.010;Cheking Device
1.3.2.08.01.24.011;Agitator
1.3.2.08.01.24.012;Rammer
1.3.2.08.01.24.013;Assesories Sand Rammer
1.3.2.08.01.24.014;Permeability Tester
1.3.2.08.01.24.015;Infra Red Rapid Dryer
1.3.2.08.01.24.016;Stereoscopic Microopic
1.3.2.08.01.24.017;Mould Hardness Tester
1.3.2.08.01.24.018;Labo Firniture
1.3.2.08.01.24.019;Mettler Balance
1.3.2.08.01.24.020;Flow Ability Test
1.3.2.08.01.24.021;Labo Mixer
1.3.2.08.01.24.022;Sand Sample & Sand Container
1.3.2.08.01.24.023;Continous Clay Washer
1.3.2.08.01.24.024;Foundry Sand Pycnometer
1.3.2.08.01.24.025;Turbo Mixer
1.3.2.08.01.24.026;Ditato Meter
1.3.2.08.01.24.027;Green Tensile Strength
1.3.2.08.01.24.028;Core Hardness Tester
1.3.2.08.01.24.029;Alat Laboratorium Pasir Lainnya
1.3.2.08.01.25.001;Sand Preparation
1.3.2.08.01.25.002;Moulding Machine
1.3.2.08.01.25.003;Ribon Flow Mixer
1.3.2.08.01.25.004;Mixer Zarnic
1.3.2.08.01.25.005;Core Making Machine
1.3.2.08.01.25.006;Core Work Banch
1.3.2.08.01.25.007;Sand Drying
1.3.2.08.01.25.008;Pneumatic
1.3.2.08.01.25.009;Alat Laboratorium Proses Pembuatan Cekatan Lainnya
1.3.2.08.01.26.001;Circulair Saw
1.3.2.08.01.26.002;Universal Milling Machine (Alat Laboratorium Proses Pembuatan Pola)
1.3.2.08.01.26.003;Combined Planning Machine
1.3.2.08.01.26.004;Wood Lathe
1.3.2.08.01.26.005;Portable Router
1.3.2.08.01.26.006;Spidle Sander
1.3.2.08.01.26.007;Small Bore Machines
1.3.2.08.01.26.008;Abrasive Band Machines
1.3.2.08.01.26.009;Movable Dust Colector
1.3.2.08.01.26.010;Automatic Grinding
1.3.2.08.01.26.011;Tools Grinding
